"DCODE","DISTNAME","DISTCOUNTY","CC","AVG_FTE","RNK_FTE","LOCREV","AVG_LOCREV","RNK_LOCREV","STREV","AVG_STREV","RNK_STREV","FEDREV","AVG_FEDREV","RNK_FEDREV","TOTREV","AVG_TOTREV","RNK_TOTREV","BASINS","AVG_BASINS","RNK_BASINS","ADDINS","AVG_ADDINS","RNK_ADDINS","AEINS","AVG_AEINS","RNK_AEINS","ITOT","AVG_ITOT","RNK_ITOT","ISAL","AVG_ISAL","RNK_ISAL","ISSUP","AVG_ISSUP","RNK_ISSUP","ADM","AVG_ADM","RNK_ADM","FACACQ","AVG_FACACQ","RNK_FACACQ","OPNMNT","AVG_OPNMNT","RNK_OPNMNT","TRANS","AVG_TRANS","RNK_TRANS","SSTOT","AVG_SSTOT","RNK_SSTOT","SSSAL","AVG_SSSAL","RNK_SSSAL","COE","AVG_COE","RNK_COE","TOTEXP","AVG_TOTEXP","RNK_TOTEXP","T_SAL","AVG_T_SAL","RNK_T_SAL","HSEV","AVG_HSEV","RNK_HSEV","NHSEV","AVG_NHSEV","RNK_NHSEV","P_TCHR","AVG_P_TCHR","RNK_P_TCH","GROUP","AEPUPILS_A","AEPUPILS_S"
"61120","HOLTON PUBLIC SCHOOLS","MUSKEGON COUNTY","61",1057.68,380,1274347.68,1205,387,7202711.13,6810,327,834703.11,789,380,9486880.93,8970,330,4097371.55,3874,543,1605792.67,1518,112,0.00,0,0,5703164.22,5392,301,5120830.34,4842,401,478793.53,453,485,1071006.61,1013,572,0.00,0,0,983739.08,930,384,641295.89,606,73,3174835.11,3002,487,1958699.26,1852,417,8877999.33,8394,386,9314454.88,8806,397,2454663.55,54512,330,113320196,107140,397,39457916,37306,413,45.03,23,532,"L",0.00,0.00
"61180","MONTAGUE AREA PUBLIC SCHOOLS","MUSKEGON COUNTY","61",1466.27,299,3367283.03,2296,184,8357878.69,5700,622,1024329.55,699,486,12756031.27,8700,424,5666699.22,3865,548,2363806.48,1612,84,0.00,0,0,8030505.70,5477,263,7541266.43,5143,247,899109.95,613,338,1414427.72,965,621,0.00,0,0,1428775.54,974,336,662402.60,452,229,4404715.81,3004,486,2901747.99,1979,341,12435221.51,8481,355,12743402.21,8691,440,3642767.07,57639,231,175569443,119739,331,125041532,85279,191,63.20,23,532,"L",0.00,0.00
"61190","ORCHARD VIEW SCHOOLS","MUSKEGON COUNTY","61",3105.28,137,3523755.72,1135,417,18388565.07,5922,594,2203759.42,710,470,24119420.21,7767,751,12367387.07,4268,331,2695759.79,930,469,657837.96,3173,59,15720984.82,5063,452,14622596.58,4709,453,1364200.53,439,500,2669980.91,860,724,0.00,0,0,1994530.45,642,726,986673.55,318,451,7015385.44,2259,754,5023998.94,1618,513,22736370.26,7322,714,23425442.72,7544,758,7930336.60,64469,90,152029493,48958,535,129461818,41691,382,123.01,24,621,"H",118.82,88.53
"61210","RAVENNA PUBLIC SCHOOLS","MUSKEGON COUNTY","61",1071.03,377,1678870.95,1568,303,7412604.70,6921,283,695154.24,649,562,9967240.33,9306,253,4361259.90,4072,439,1604004.85,1498,117,0.00,0,0,5965264.75,5570,233,5601185.83,5230,216,693761.83,648,313,1138879.57,1063,515,0.00,0,0,973342.55,909,414,575450.09,537,117,3381434.04,3157,406,2169333.00,2025,311,9346698.79,8727,289,9916581.66,9259,272,2719589.13,61964,124,132597996,123804,312,26688436,24918,505,43.89,24,621,"L",0.00,0.00
"61220","REETHS-PUFFER SCHOOLS","MUSKEGON COUNTY","61",4029.20,92,5865980.25,1456,329,25683625.07,6374,480,3931267.38,976,242,35624325.26,8842,371,17382738.80,4314,300,4593208.28,1140,291,0.00,0,0,21975947.08,5454,272,20327908.10,5045,302,4180997.13,1038,119,3844711.79,954,632,0.00,0,0,2591932.37,643,725,1579591.95,392,336,12197233.24,3027,478,8779416.60,2179,221,34173180.32,8481,355,35140293.64,8721,427,10838200.00,58506,203,445203673,110494,376,188438795,46768,353,185.25,22,421,"F",0.00,0.00
"61230","NORTH MUSKEGON PUBLIC SCHOOLS","MUSKEGON COUNTY","61",1015.41,390,863612.52,851,501,6212312.20,6118,554,566112.26,558,666,7740384.10,7623,765,4233316.02,4601,170,855474.76,930,469,246613.15,2585,72,5335403.93,5254,379,4809589.75,4737,443,443631.17,437,502,812484.40,800,748,0.00,0,0,634595.30,625,731,97783.32,96,584,1988494.19,1958,765,1134605.70,1117,579,7323898.12,7213,719,7545707.69,7431,761,2639345.84,57628,233,109559439,107897,394,32791596,32294,459,45.80,20,227,"L",56.80,38.61
"61240","WHITEHALL DISTRICT SCHOOLS","MUSKEGON COUNTY","61",2376.10,193,3578721.16,1506,319,12969145.20,5458,646,1490880.97,627,584,19210916.33,8085,676,9319888.99,3965,498,2744458.83,1168,273,710731.58,27905,9,12775079.40,5376,313,12027445.76,5062,288,1621529.61,682,299,2088598.27,879,706,0.00,0,0,1842098.49,775,603,1053970.13,444,241,6606196.50,2780,588,4442768.58,1870,405,19381275.90,8157,474,20048247.36,8437,531,5907631.98,57189,242,270881385,114003,352,146582973,61691,272,103.30,23,532,"J",25.47,0.00
"61902","TIMBERLAND ACADEMY","MUSKEGON COUNTY","61",458.00,558,684183.00,1494,324,3570398.00,7796,59,536669.00,1172,164,4791250.00,10461,108,1730185.00,3778,573,732149.00,1599,88,0.00,0,0,2462334.00,5376,313,0.00,0,0,258198.00,564,377,989379.00,2160,122,0.00,0,0,1084987.00,2369,32,0.00,0,0,2332564.00,5093,86,0.00,0,0,4794898.00,10469,85,4797198.00,10474,120,0.00,0,0,0,0,0,0,0,0,33.39,14,41,"N",0.00,0.00
"61903","WAY POINT ACADEMY","MUSKEGON COUNTY","61",218.00,663,69015.41,317,626,1682109.27,7716,73,269598.00,1237,153,2020722.68,9269,263,712964.90,3270,641,351425.98,1612,84,0.00,0,0,1064390.88,4883,520,0.00,0,0,160259.10,735,260,382563.99,1755,199,0.00,0,0,141358.37,648,720,5803.75,27,627,689985.21,3165,402,0.00,0,0,1754376.09,8048,509,2035513.54,9337,254,0.00,0,0,0,0,0,0,0,0,11.00,20,227,"N",0.00,0.00
"61904","THREE OAKS PUBLIC SCHOOL ACADEMY","MUSKEGON COUNTY","61",320.50,614,50454.09,157,677,2272266.31,7090,233,270228.60,843,331,2592949.00,8090,673,916157.45,2859,712,259573.55,810,551,0.00,0,0,1175731.00,3668,712,0.00,0,0,174348.01,544,398,696035.04,2172,119,0.00,0,0,325417.14,1015,292,154054.16,481,193,1349854.35,4212,179,0.00,0,0,2525585.35,7880,576,2712616.73,8464,524,0.00,0,0,0,0,0,0,0,0,14.00,23,532,"N",0.00,0.00
