District Code,District Name,Elementary,Middle School,High School
38901,Da Vinci Institute,Yes,NULL,-
33040,Dansville Schools,Yes,Yes,Yes
25140,Davison Community Schools,Yes,Yes,Yes
82030,Dearborn City School District,Yes,Yes,Yes
82040,Dearborn Heights School District #7,Yes,Yes,Yes
80050,Decatur Public Schools,Yes,Yes,Yes
76090,Deckerville Community School District,Yes,Yes,Yes
08010,Delton-Kellogg School District,Yes,Yes,No
17050,DeTour Area Schools,Yes,Yes,Yes
82929,Detroit Academy of Arts and Sciences,No,Yes,No
82010,Detroit City School District,Yes,Yes,No
82925,Detroit Community Schools,Yes,Yes,Yes
19010,DeWitt Public Schools,Yes,Yes,Yes
81050,Dexter Community School District,Yes,Yes,Yes
31100,Dollar Bay-Tamarack City Area Schools,Yes,Yes,No
14020,Dowagiac Union School District,Yes,No,Yes
44050,Dryden Community Schools,Yes,Yes,Yes
58050,Dundee Community Schools,Yes,Yes,Yes
78030,Durand Area Schools,Yes,Yes,Yes
74050,East China School District,Yes,Yes,Yes
50020,East Detroit Public Schools,Yes,No,No
41090,East Grand Rapids Public Schools,Yes,Yes,Yes
38090,East Jackson Community Schools,Yes,Yes,Yes
15060,East Jordan Public Schools,Yes,Yes,Yes
33010,East Lansing School District,Yes,Yes,Yes
23000,Eaton ISD,Yes,Yes,Yes
23050,Eaton Rapids Public Schools,Yes,Yes,No
11250,Eau Claire Public Schools,Yes,Yes,Yes
82250,Ecorse Public School District,Yes,Yes,No
14030,Edwardsburg Public Schools,Yes,Yes,Yes
05060,Elk Rapids Schools,Yes,Yes,Yes
32050,Elkton-Pigeon-Bay Port Laker Schools,Yes,Yes,Yes
49055,Engadine Consolidated Schools,Yes,Yes,Yes
21010,Escanaba Area Public Schools,Yes,Yes,Yes
09050,Essexville-Hampton Public Schools,Yes,Yes,Yes
68030,Fairview Area School District,Yes,Yes,Yes
63200,Farmington Public School District,Yes,Yes,Yes
18020,Farwell Area Schools,Yes,Yes,Yes
03050,Fennville Public Schools,Yes,Yes,Yes
25100,Fenton Area Public Schools,Yes,Yes,No
63020,Ferndale Public Schools,Yes,Yes,No
50090,Fitzgerald Public Schools,Yes,Yes,Yes
82180,Flat Rock Community Schools,Yes,Yes,No
25010,Flint City School District,Yes,No,No
25120,Flushing Community Schools,Yes,Yes,Yes
40020,Forest Area Community Schools,Yes,Yes,Yes
41110,Forest Hills Public Schools,Yes,Yes,Yes
36015,Forest Park School District,Yes,Yes,Yes
19070,Fowler Public Schools,Yes,Yes,Yes
47030,Fowlerville Community Schools,Yes,Yes,No
73190,Frankenmuth School District,Yes,Yes,Yes
10025,Frankfort-Elberta Area Schools,Yes,Yes,Yes
50100,Fraser Public Schools,Yes,Yes,Yes
73200,Freeland Community School District,Yes,Yes,Yes
62040,Fremont Public School District,Yes,Yes,Yes
61080,Fruitport Community Schools,Yes,Yes,Yes
29050,Fulton Schools,Yes,Yes,No
39050,Galesburg-Augusta Community Schools,Yes,No,Yes
11160,Galien Township School District,Yes,Yes,No
82050,Garden City School District,No,Yes,No
69020,Gaylord Community Schools,Yes,Yes,Yes
25000,Genesee ISD,Yes,Yes,No
25070,Genesee School District,Yes,Yes,Yes
82937,George Crockett Academy,Yes,Yes,Yes
82290,Gibraltar School District,Yes,Yes,Yes
21025,Gladstone Area Schools,Yes,Yes,Yes
26040,Gladwin Community Schools,Yes,Yes,Yes
45010,Glen Lake Community Schools,Yes,Yes,Yes
80110,Gobles Public School District,Yes,Yes,Yes
41120,Godfrey-Lee Public Schools,Yes,Yes,No
41020,Godwin Heights Public Schools,Yes,Yes,No
25050,Goodrich Area Schools,Yes,Yes,Yes
25030,Grand Blanc Community Schools,Yes,Yes,Yes
70010,Grand Haven Area Public Schools,Yes,Yes,Yes
23060,Grand Ledge Public Schools,Yes,Yes,No
41010,Grand Rapids Public Schools,Yes,Yes,No
41130,Grandville Public Schools,Yes,Yes,Yes
62050,Grant Public School District,Yes,Yes,No
38050,Grass Lake Community Schools,Yes,Yes,Yes
41911,Grattan Academy,Yes,Yes,Yes
59070,Greenville Public Schools,Yes,Yes,No
82300,Grosse Ile Township Schools,Yes,Yes,Yes
82055,Grosse Pointe Public Schools,Yes,Yes,Yes
39065,Gull Lake Community Schools,Yes,Yes,Yes
52040,Gwinn Area Community Schools,Yes,Yes,Yes
35020,Hale Area Schools,Yes,Yes,No
03100,Hamilton Community Schools,Yes,Yes,Yes
82060,Hamtramck Public Schools,Yes,Yes,No
31010,Hancock Public Schools,Yes,Yes,Yes
38100,Hanover-Horton Schools,Yes,Yes,Yes
32060,Harbor Beach Community Schools,Yes,Yes,Yes
24020,Harbor Springs School District,Yes,Yes,Yes
13070,Harper Creek Community Schools,Yes,Yes,Yes
18060,Harrison Community Schools,Yes,No,Yes
64040,Hart Public School District,Yes,Yes,Yes
80120,Hartford Public School District,No,Yes,No
47060,Hartland Consolidated Schools,Yes,Yes,Yes
33060,Haslett Public Schools,Yes,Yes,Yes
08030,Hastings Area School District,Yes,Yes,Yes
73210,Hemlock Public School District,Yes,No,Yes
62060,Hesperia Community Schools,Yes,Yes,No
82070,Highland Park City Schools,Yes,No,No
60020,Hillman Community Schools,Yes,Yes,Yes
30020,Hillsdale Community Schools,No,Yes,Yes
70020,Holland City School District,Yes,Yes,No
63210,Holly Area School District,Yes,Yes,Yes
