ISDcode,ISD,dcode,District,bcode,School ,AYP,AYP Phase,Building Type
25,Genesee ISD,25060,Bendle Public Schools,07710,Bendle/Carman-Ainsworth Alternative Education,No,Identified for Restructuring - Implementation,Alternative School
25,Genesee ISD,25080,Carman-Ainsworth Community Schools,05009,Carman-Ainsworth High School,No,Identified for Improvement - Year Two,High School
25,Genesee ISD,25130,Atherton Community Schools,00138,Atherton High School,Yes,Identified for Improvement - Year One,High School
25,Genesee ISD,25140,Davison Community Schools,07770,Davison Alternative Education,No,Corrective Action,Alternative School
25,Genesee ISD,25150,Clio Area School District,00733,Clio Community Education,No,Identified for Restructuring - Planning,Alternative School
25,Genesee ISD,25180,Swartz Creek Community Schools,07465,Swartz Creek Academy,No,Identified for Restructuring - Implementation,Alternative School
25,Genesee ISD,25210,Westwood Heights Schools,06235,Hamady Community High School,Yes,Identified for Improvement - Year Two,High School
25,Genesee ISD,25240,Beecher Community School District,00253,Beecher High School,Yes,Identified for Restructuring - Planning,High School
25,Genesee ISD,25240,Beecher Community School District,02052,Beecher Adult/Alternative Education Center,Yes,Identified for Improvement - Year Two,Alternative School
25,Genesee ISD,25260,Montrose Community Schools,09494,Montrose Alternative Education Center,No,Corrective Action,Alternative School
25,Genesee ISD,25280,LakeVille Community Schools,08058,LakeVille Alternative High School,No,Identified for Restructuring - Implementation,Alternative School
28,Traverse Bay Area ISD,28000,Traverse Bay Area ISD,07133,New Campus Center,No,Identified for Restructuring - Planning,Spec Ed Center
28,Traverse Bay Area ISD,28010,Traverse City Area Public Schools,08810,Traverse City High School,No,Identified for Restructuring - Implementation,Middle/High School
29,Gratiot-Isabella RESD,29000,Gratiot-Isabella RESD,07502,RESD Gratiot County,No,Identified for Improvement - Year One,Spec Ed Center
30,Hillsdale ISD,30000,Hillsdale ISD,00737,Greenfield School,No,Identified for Improvement - Year Two,Spec Ed Center
30,Hillsdale ISD,30000,Hillsdale ISD,09169,The Manor,No,Identified for Improvement - Year One,Spec Ed Center
30,Hillsdale ISD,30030,Jonesville Community Schools,04696,Jonesville Alternative H.S.,No,Identified for Restructuring - Implementation,Alternative School
33,Ingham ISD,33020,Lansing Public School District,01044,Eastern High School,No,Identified for Restructuring - Implementation,High School
33,Ingham ISD,33020,Lansing Public School District,04456,Education Options,No,Corrective Action,Middle/High School
33,Ingham ISD,33020,Lansing Public School District,09564,Riddle Elementary,No,Identified for Improvement - Year One,Elementary
33,Ingham ISD,33070,Holt Public Schools,01711,Holt Senior High School,No,Identified for Restructuring - Implementation,High School
33,Ingham ISD,33070,Holt Public Schools,07621,Holt Central High School,No,Identified for Restructuring - Implementation,Alternative School
33,Ingham ISD,33215,Waverly Community Schools,04403,Waverly Senior High School,No,Identified for Improvement - Year Two,High School
33,Ingham ISD,33908,New City Academy,08727,New City Academy,No,Identified for Improvement - Year Two,Elementary
34,Ionia ISD,34000,Ionia ISD,00722,Freedom Acres School,No,Identified for Improvement - Year One,Spec Ed Center
34,Ionia ISD,34080,Belding Area School District,07570,Belding Adult and Community Education,No,Identified for Restructuring - Implementation,Alternative School
35,Iosco RESA,35040,Whittemore-Prescott Area Schools,04516,Whittemore-Prescott Area H.S.,Yes,Identified for Improvement - Year Two,High School
22,Dickinson-Iron ISD,36025,West Iron County Public Schools,01852,West Iron County High School,Yes,Identified for Improvement - Year Two,High School
29,Gratiot-Isabella RESD,37010,Mt. Pleasant City School District,02636,Mt. Pleasant Senior High School,Yes,Identified for Improvement - Year Two,High School
29,Gratiot-Isabella RESD,37010,Mt. Pleasant City School District,07496,Oasis Alternative Ed. School,No,Identified for Restructuring - Implementation,Alternative School
29,Gratiot-Isabella RESD,37060,Shepherd Public School District,07631,Odyssey Middle/High School,No,Identified for Improvement - Year Two,Alternative School
38,Jackson ISD,38000,Jackson ISD,05984,Lyle A. Torrant Center,No,Identified for Improvement - Year Two,Spec Ed Center
38,Jackson ISD,38010,Western School District,07261,Woodville Community Center,No,Identified for Restructuring - Planning,Alternative School
38,Jackson ISD,38040,Columbia School District,05598,Columbia Alternative Education,No,Identified for Restructuring - Planning,High School
38,Jackson ISD,38090,East Jackson Community Schools,01017,East Jackson High School,Yes,Identified for Improvement - Year One,High School
38,Jackson ISD,38120,Michigan Center School District,02544,Michigan Center Jr/Sr High School,No,Identified for Improvement - Year Two,Middle/High School
38,Jackson ISD,38130,Napoleon Community Schools,07973,Ackerson Lake Community Education,No,Identified for Restructuring - Planning,Alternative School
38,Jackson ISD,38140,Northwest Community Schools,05625,Northwest High School,Yes,Identified for Restructuring - Planning,High School
38,Jackson ISD,38140,Northwest Community Schools,08571,Northwest Alternative High School,No,Identified for Restructuring - Planning,Alternative School
38,Jackson ISD,38170,Jackson Public Schools,01870,Jackson High School,Yes,Identified for Restructuring - Planning,High School
38,Jackson ISD,38170,Jackson Public Schools,04187,TA Wilson School,No,Identified for Restructuring - Implementation,Alternative School
38,Jackson ISD,38170,Jackson Public Schools,06417,Amy Firth Middle School,No,Identified for Restructuring - Implementation,Alternative School
