Free and Reduced-Price Lunch Counts,,,,,,
Fall 2009 District-Level Data: K-12 Counts by Grades,,,,,,
Includes Grades K through 12 plus Ungraded Special Education (14),,,,,,
DCODE,District_Name,GradeOrSetting,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
59901,Threshold Academy,06,7,3,2,12
60010,Atlanta Community Schools,00,18,0,4,22
60010,Atlanta Community Schools,01,15,2,1,18
60010,Atlanta Community Schools,02,13,2,5,20
60010,Atlanta Community Schools,03,15,0,6,21
60010,Atlanta Community Schools,04,15,2,5,22
60010,Atlanta Community Schools,05,16,1,3,20
60010,Atlanta Community Schools,06,9,0,7,16
60010,Atlanta Community Schools,07,15,4,13,32
60010,Atlanta Community Schools,08,21,3,9,33
60010,Atlanta Community Schools,09,13,3,10,26
60010,Atlanta Community Schools,10,20,2,9,31
60010,Atlanta Community Schools,11,23,4,8,35
60010,Atlanta Community Schools,12,20,3,8,31
60020,Hillman Community Schools,00,26,2,5,33
60020,Hillman Community Schools,01,21,8,6,35
60020,Hillman Community Schools,02,21,8,11,40
60020,Hillman Community Schools,03,16,13,9,38
60020,Hillman Community Schools,04,33,4,13,50
60020,Hillman Community Schools,05,21,6,6,33
60020,Hillman Community Schools,06,23,6,17,46
60020,Hillman Community Schools,07,28,7,13,48
60020,Hillman Community Schools,08,17,4,14,35
60020,Hillman Community Schools,09,23,1,11,35
60020,Hillman Community Schools,10,20,5,21,46
60020,Hillman Community Schools,11,23,3,19,45
60020,Hillman Community Schools,12,12,4,14,30
61000,Muskegon Area ISD,14,162,9,38,209
61010,Muskegon City School District,00,374,24,48,446
61010,Muskegon City School District,01,349,15,41,405
61010,Muskegon City School District,02,342,24,29,395
61010,Muskegon City School District,03,309,22,40,371
61010,Muskegon City School District,04,339,21,37,397
61010,Muskegon City School District,05,278,19,28,325
61010,Muskegon City School District,06,281,17,16,314
61010,Muskegon City School District,07,267,20,30,317
61010,Muskegon City School District,08,303,23,32,358
61010,Muskegon City School District,09,502,32,113,647
61010,Muskegon City School District,10,342,18,96,456
61010,Muskegon City School District,11,182,25,71,278
61010,Muskegon City School District,12,209,14,71,294
61010,Muskegon City School District,14,54,2,22,78
61020,Muskegon Heights School District,00,141,2,3,146
61020,Muskegon Heights School District,01,130,1,2,133
61020,Muskegon Heights School District,02,115,1,5,121
61020,Muskegon Heights School District,03,125,1,4,130
61020,Muskegon Heights School District,04,109,2,6,117
61020,Muskegon Heights School District,05,92,2,3,97
61020,Muskegon Heights School District,06,101,3,7,111
61020,Muskegon Heights School District,07,96,2,2,100
61020,Muskegon Heights School District,08,107,2,7,116
61020,Muskegon Heights School District,09,112,4,6,122
61020,Muskegon Heights School District,10,118,5,12,135
61020,Muskegon Heights School District,11,106,3,14,123
61020,Muskegon Heights School District,12,86,4,22,112
61020,Muskegon Heights School District,14,32,1,5,38
61060,Mona Shores Public School District,00,82,11,182,275
61060,Mona Shores Public School District,01,84,21,157,262
61060,Mona Shores Public School District,02,97,24,147,268
61060,Mona Shores Public School District,03,96,24,133,253
61060,Mona Shores Public School District,04,83,33,144,260
61060,Mona Shores Public School District,05,75,29,166,270
61060,Mona Shores Public School District,06,82,33,154,269
61060,Mona Shores Public School District,07,86,43,191,320
61060,Mona Shores Public School District,08,102,20,200,322
61060,Mona Shores Public School District,09,90,33,236,359
61060,Mona Shores Public School District,10,73,31,217,321
61060,Mona Shores Public School District,11,64,16,233,313
61060,Mona Shores Public School District,12,58,28,246,332
61060,Mona Shores Public School District,14,10,0,15,25
61065,Oakridge Public Schools,00,93,16,45,154
61065,Oakridge Public Schools,01,72,11,49,132
61065,Oakridge Public Schools,02,70,17,52,139
61065,Oakridge Public Schools,03,80,18,58,156
61065,Oakridge Public Schools,04,84,9,43,136
61065,Oakridge Public Schools,05,64,16,46,126
61065,Oakridge Public Schools,06,81,17,45,143
61065,Oakridge Public Schools,07,82,16,64,162
61065,Oakridge Public Schools,08,64,12,58,134
61065,Oakridge Public Schools,09,86,17,61,164
61065,Oakridge Public Schools,10,68,14,68,150
61065,Oakridge Public Schools,11,59,13,73,145
61065,Oakridge Public Schools,12,43,11,84,138
61065,Oakridge Public Schools,14,10,1,3,14
61080,Fruitport Community Schools,00,112,20,126,258
61080,Fruitport Community Schools,01,109,16,101,226
61080,Fruitport Community Schools,02,93,25,107,225
61080,Fruitport Community Schools,03,101,22,100,223
61080,Fruitport Community Schools,04,82,26,108,216
61080,Fruitport Community Schools,05,97,32,124,253
61080,Fruitport Community Schools,06,105,31,82,218
61080,Fruitport Community Schools,07,81,26,126,233
61080,Fruitport Community Schools,08,80,38,128,246
61080,Fruitport Community Schools,09,78,32,144,254
61080,Fruitport Community Schools,10,81,33,162,276
61080,Fruitport Community Schools,11,78,28,124,230
61080,Fruitport Community Schools,12,79,25,179,283
61120,Holton Public Schools,00,44,9,17,70
61120,Holton Public Schools,01,44,9,19,72
61120,Holton Public Schools,02,49,9,18,76
