Free and Reduced-Price Lunch Counts,,,,,,
Fall 2009 District-Level Data: K-12 Counts by Grades,,,,,,
Includes Grades K through 12 plus Ungraded Special Education (14),,,,,,
DCODE,District_Name,GradeOrSetting,Free Lunch Eligible,Reduced-Price Lunch Eligible,Not Eligible,Total Count
12040,Quincy Community School District,02,50,11,46,107
12040,Quincy Community School District,03,42,17,51,110
12040,Quincy Community School District,04,44,9,50,103
12040,Quincy Community School District,05,49,13,63,125
12040,Quincy Community School District,06,46,6,52,104
12040,Quincy Community School District,07,26,11,50,87
12040,Quincy Community School District,08,31,6,78,115
12040,Quincy Community School District,09,35,12,52,99
12040,Quincy Community School District,10,28,7,83,118
12040,Quincy Community School District,11,22,5,68,95
12040,Quincy Community School District,12,21,1,89,111
12901,Pansophia Academy,00,11,6,4,21
12901,Pansophia Academy,01,16,1,3,20
12901,Pansophia Academy,02,19,3,2,24
12901,Pansophia Academy,03,13,4,6,23
12901,Pansophia Academy,04,13,3,3,19
12901,Pansophia Academy,05,10,1,2,13
12901,Pansophia Academy,06,7,3,2,12
12901,Pansophia Academy,07,11,0,4,15
12901,Pansophia Academy,08,5,2,2,9
12901,Pansophia Academy,09,21,2,4,27
12901,Pansophia Academy,10,15,4,5,24
12901,Pansophia Academy,11,11,4,13,28
12901,Pansophia Academy,12,11,2,7,20
13000,Calhoun ISD,05,2,0,1,3
13000,Calhoun ISD,06,3,0,0,3
13000,Calhoun ISD,07,6,0,0,6
13000,Calhoun ISD,08,13,1,1,15
13000,Calhoun ISD,09,41,1,2,44
13000,Calhoun ISD,10,63,1,11,75
13000,Calhoun ISD,11,45,0,7,52
13000,Calhoun ISD,12,13,0,0,13
13000,Calhoun ISD,14,262,19,193,474
13010,Albion Public Schools,00,93,2,17,112
13010,Albion Public Schools,01,83,2,13,98
13010,Albion Public Schools,02,65,1,15,81
13010,Albion Public Schools,03,64,1,20,85
13010,Albion Public Schools,04,60,4,10,74
13010,Albion Public Schools,05,63,0,13,76
13010,Albion Public Schools,06,43,0,16,59
13010,Albion Public Schools,07,48,2,11,61
13010,Albion Public Schools,08,58,6,16,80
13010,Albion Public Schools,09,63,2,29,94
13010,Albion Public Schools,10,65,3,24,92
13010,Albion Public Schools,11,53,4,21,78
13010,Albion Public Schools,12,29,1,40,70
13020,Battle Creek Public Schools,00,467,26,98,591
13020,Battle Creek Public Schools,01,436,32,98,566
13020,Battle Creek Public Schools,02,381,29,90,500
13020,Battle Creek Public Schools,03,335,28,92,455
13020,Battle Creek Public Schools,04,324,18,76,418
13020,Battle Creek Public Schools,05,309,34,97,440
13020,Battle Creek Public Schools,06,298,25,74,397
13020,Battle Creek Public Schools,07,279,22,91,392
13020,Battle Creek Public Schools,08,249,23,72,344
13020,Battle Creek Public Schools,09,291,28,206,525
13020,Battle Creek Public Schools,10,317,31,288,636
13020,Battle Creek Public Schools,11,250,25,199,474
13020,Battle Creek Public Schools,12,243,24,225,492
13020,Battle Creek Public Schools,14,30,1,4,35
13050,Athens Area Schools,00,23,4,32,59
13050,Athens Area Schools,01,16,2,26,44
13050,Athens Area Schools,02,22,3,31,56
13050,Athens Area Schools,03,11,7,27,45
13050,Athens Area Schools,04,17,6,32,55
13050,Athens Area Schools,05,21,4,34,59
13050,Athens Area Schools,06,18,7,20,45
13050,Athens Area Schools,07,23,1,22,46
13050,Athens Area Schools,08,23,7,20,50
13050,Athens Area Schools,09,16,4,29,49
13050,Athens Area Schools,10,17,3,32,52
13050,Athens Area Schools,11,18,8,31,57
13050,Athens Area Schools,12,14,5,28,47
13070,Harper Creek Community Schools,00,74,14,81,169
13070,Harper Creek Community Schools,01,50,10,98,158
13070,Harper Creek Community Schools,02,69,16,106,191
13070,Harper Creek Community Schools,03,70,9,111,190
13070,Harper Creek Community Schools,04,66,13,100,179
13070,Harper Creek Community Schools,05,60,12,89,161
13070,Harper Creek Community Schools,06,63,22,128,213
13070,Harper Creek Community Schools,07,67,14,114,195
13070,Harper Creek Community Schools,08,72,13,130,215
13070,Harper Creek Community Schools,09,68,11,167,246
13070,Harper Creek Community Schools,10,63,10,144,217
13070,Harper Creek Community Schools,11,55,8,182,245
13070,Harper Creek Community Schools,12,58,10,156,224
13080,Homer Community Schools,00,58,5,27,90
13080,Homer Community Schools,01,39,3,34,76
13080,Homer Community Schools,02,45,7,36,88
13080,Homer Community Schools,03,37,10,37,84
13080,Homer Community Schools,04,36,9,26,71
13080,Homer Community Schools,05,37,9,28,74
13080,Homer Community Schools,06,37,7,25,69
13080,Homer Community Schools,07,30,13,37,80
13080,Homer Community Schools,08,36,6,45,87
13080,Homer Community Schools,09,39,11,34,84
13080,Homer Community Schools,10,44,8,47,99
13080,Homer Community Schools,11,20,5,38,63
13080,Homer Community Schools,12,23,8,32,63
13090,Lakeview Sch. District (Calhoun),00,120,17,153,290
13090,Lakeview Sch. District (Calhoun),01,90,9,120,219
13090,Lakeview Sch. District (Calhoun),02,87,13,142,242
13090,Lakeview Sch. District (Calhoun),03,98,12,161,271
13090,Lakeview Sch. District (Calhoun),04,107,13,139,259
13090,Lakeview Sch. District (Calhoun),05,81,20,156,257
13090,Lakeview Sch. District (Calhoun),06,112,24,187,323
13090,Lakeview Sch. District (Calhoun),07,100,20,183,303
13090,Lakeview Sch. District (Calhoun),08,93,13,193,299
13090,Lakeview Sch. District (Calhoun),09,114,19,239,372
13090,Lakeview Sch. District (Calhoun),10,118,17,248,383
13090,Lakeview Sch. District (Calhoun),11,80,15,251,346
13090,Lakeview Sch. District (Calhoun),12,43,14,214,271
13095,Mar Lee School District,00,21,2,21,44
13095,Mar Lee School District,01,8,2,14,24
13095,Mar Lee School District,02,16,3,19,38
13095,Mar Lee School District,03,15,2,15,32
13095,Mar Lee School District,04,12,5,15,32
13095,Mar Lee School District,05,15,2,23,40
13095,Mar Lee School District,06,13,1,18,32
13095,Mar Lee School District,07,13,2,36,51
13095,Mar Lee School District,08,9,4,9,22
13110,Marshall Public Schools,00,50,3,127,180
13110,Marshall Public Schools,01,33,12,99,144
13110,Marshall Public Schools,02,48,9,119,176
13110,Marshall Public Schools,03,39,5,111,155
13110,Marshall Public Schools,04,42,7,130,179
13110,Marshall Public Schools,05,44,9,119,172
13110,Marshall Public Schools,06,50,15,107,172
13110,Marshall Public Schools,07,41,9,129,179
13110,Marshall Public Schools,08,38,9,128,175
13110,Marshall Public Schools,09,36,6,148,190
13110,Marshall Public Schools,10,49,13,169,231
