District Code,District_Name,free_lunch_eligible,reduced_price_lunch_eligible,Not Eligible,Total Count
82110,Redford Union School District,1628,279,1404,3311
82120,River Rouge School District,1115,46,132,1293
82130,Romulus Community Schools,2262,400,1213,3875
82140,South Redford School District,1394,316,1716,3426
82150,Taylor School District,4600,863,2863,8326
82155,Trenton Public Schools,560,102,2211,2873
82160,Wayne-Westland Community School District,6257,1200,5485,12942
82170,Wyandotte City School District,1963,403,2491,4857
82180,Flat Rock Community Schools,640,154,1140,1934
82230,Crestwood School District,1596,340,1511,3447
82240,Westwood Community Schools,1735,101,724,2560
82250,Ecorse Public School District,541,3,415,959
82290,Gibraltar School District,932,200,2590,3722
82300,Grosse Ile Township Schools,111,33,1708,1852
82320,City of Harper Woods Schools,800,90,455,1345
82340,Huron School District,599,159,1736,2494
82365,Woodhaven-Brownstown School District,1374,336,3355,5065
82390,Northville Public Schools,316,64,6934,7314
82400,Riverview Community School District,637,183,1870,2690
82405,Southgate Community School District,1975,477,3251,5703
82430,Van Buren Public Schools,2341,374,3030,5745
82701,University Preparatory Science and Math (PSAD),192,38,152,382
82702,University Preparatory Academy,1145,168,344,1657
82703,Henry Ford Academy: School for Creative Studies (PSAD),216,58,108,382
82716,Vista Meadows Academy,51,0,10,61
82717,Achieve Charter Academy,48,16,499,563
82718,Quest Charter Academy,196,35,100,331
82719,Washington-Parks Academy,147,26,150,323
82720,Lincoln-King Academy,147,21,116,284
82721,McGivney Academy (SDA),3,0,10,13
82902,Casa Richard Academy,98,14,24,136
82903,Aisha Shule/WEB Dubois Prep. Academy School,211,5,32,248
82904,Plymouth Educational Center,776,135,232,1143
82905,Nataki Talibah Schoolhouse of Detroit,254,10,132,396
82907,Michigan Technical Academy,998,73,172,1243
82909,Academy of Detroit-West,271,24,26,321
82910,"Martin Luther King, Jr. Education Center Academy",251,15,48,314
82911,Gaudior Academy,113,25,53,191
82912,Academy of Westland,375,17,32,424
82913,Woodward Academy,443,57,58,558
82914,Colin Powell Academy,520,28,43,591
82915,Eaton Academy,335,38,94,467
82916,Summit Academy,190,43,172,405
82917,Michigan Health Academy,161,3,39,203
82918,Cesar Chavez Academy,1742,59,48,1849
82919,Commonwealth Community Devel. Academy,238,9,5,252
82921,Academy for Business and Technology,545,56,52,653
82922,Nsoroma Institute,146,20,27,193
82923,Chandler Park Academy,1418,98,203,1719
82924,Marvin L. Winans Academy of Performing Arts,978,121,308,1407
82925,Detroit Community Schools,834,54,170,1058
82926,Henry Ford Academy,188,55,236,479
82927,HEART Academy,160,22,38,220
82928,The Dearborn Academy,453,7,21,481
82929,Detroit Academy of Arts and Sciences,1435,72,348,1855
82930,Dove Academy of Detroit,400,23,46,469
82933,Timbuktu Academy of Science and Technology,317,7,12,336
82937,George Crockett Academy,378,16,38,432
82938,Summit Academy North,535,143,807,1485
82939,Pierre Toussaint Academy,395,15,45,455
82940,Voyageur Academy,614,52,132,798
82941,Star International Academy,1040,117,147,1304
82942,Hope Academy,453,0,44,497
82943,Weston Preparatory Academy,296,27,83,406
82945,Edison Public School Academy,596,134,345,1075
82947,David Ellis Academy,189,45,86,320
82948,Ross Hill Academy,161,9,16,186
82949,Center for Literacy and Creativity,79,4,33,116
82950,Universal Academy,473,4,23,500
82953,Detroit Service Learning Academy,812,98,218,1128
82955,Allen Academy,1007,7,46,1060
82956,Old Redford Academy,1409,166,332,1907
82957,Hope of Detroit Academy,437,12,39,488
82958,Joy Preparatory Academy,420,18,26,464
82959,West Village Academy,312,33,58,403
82960,Cherry Hill School of Performing Arts,861,21,173,1055
82961,Academy of Inkster,172,10,18,200
82962,New Beginnings Academy,121,15,48,184
82963,George Washington Carver Academy,463,1,31,495
82964,Detroit Midtown Academy,301,0,21,322
82967,Metro Charter Academy,338,72,311,721
82968,Canton Charter Academy,60,26,625,711
82969,Creative Montessori Academy,200,72,382,654
82970,Warrendale Charter Academy,602,39,88,729
82971,Blanche Kelso Bruce Academy,415,0,75,490
82973,Trillium Academy,343,47,337,727
82974,Detroit Merit Charter Academy,544,52,121,717
82975,Riverside Academy,987,20,20,1027
82976,Keystone Academy,129,53,564,746
82977,Hamtramck Academy,425,17,38,480
82978,Life Skills Center of Metropolitan Detroit,278,11,52,341
82979,Detroit Enterprise Academy,576,60,65,701
82980,"Business Entrepreneurship, Science, Tech. Academy",432,2,3,437
82981,American Montessori Academy,113,18,315,446
82982,Universal Learning Academy,396,37,37,470
82983,Bridge Academy,581,0,5,586
82984,Dr. Charles Drew Academy,375,9,35,419
82985,Detroit Premier Academy,622,40,77,739
82986,Hanley International Academy,535,17,62,614
82987,Frontier International Academy,321,0,5,326
82988,Discovery Arts and Technology PSA,194,7,19,220
82989,Covenant House Life Skills Center West,172,5,74,251
82990,Covenant House Life Skills Center East,251,0,62,313
82991,Covenant House Life Skills Center Central,300,1,18,319
82992,Northpointe Academy,234,4,31,269
82994,David Ellis Academy West,489,70,275,834
82995,Taylor Exemplar Academy,280,95,302,677
82996,Clara B. Ford Academy (SDA),178,0,9,187
82997,Flagship Charter Academy,513,24,40,577
82998,ACE Academy (SDA),161,0,25,186
83000,Wexford-Missaukee ISD,70,1,24,95
83010,Cadillac Area Public Schools,1418,247,1580,3245
83060,Manton Consolidated Schools,529,124,362,1015
83070,Mesick Consolidated Schools,431,72,249,752
